8 FILES WITH ANOMALOUS DATA IN 5th and 8th FILES,,,,,
Discard (FREQ*LENGTH),PRECISION,RECALL,F1 MEASURE,F0.5 MEASURE,F2 MEASURE
OVERALL,0.393817132,0.63402967,0.46061381,0.414439345,0.539333544,0.63402967,0.178423423


VARUN'S DATA SET WITH NATE'S ALGO FOR VARYING CONCEPT DRIFT,,,,,,,

D,AVG PRECISION,AVG RECALL,AVG F1 MEASURE,AVG F0.5 MEASURE,AVG F2 MEASURE,AVG TPR,AVG FPR
0.0000001,0.147707217,0.547868553,0.203324449,0.148230558,0.293241523,0.547868553,0.252666546
0.000001,0.171277864,0.623475259,0.267848205,0.26657885,0.359077803,0.623475259,0.258536446
0.00001,0.192830492,0.502039293,0.238293849,0.203940184,0.367493859,0.502039293,0.279239809
0.0001,0.182979681,0.585710867,0.242999389,0.242691521,0.339077168,0.585710867,0.282731421
0.001,0.179128724,0.572198374,0.259283231,0.241231349,0.36828599,0.572198374,0.262839384

STATIC MOST RECENT,,,,,,,
D,AVG PRECISION,AVG RECALL,AVG F1 MEASURE,AVG F0.5 MEASURE,AVG F2 MEASURE,AVG TPR,AVG FPR
0.0000001,0.138482839,0.548294839,0.22111792,0.162822527,0.344436679,0.548294839,0.29384849
0.000001,0.181617096,0.594879514,0.278237457,0.210911685,0.408749602,0.594879514,0.324121857
0.00001,0.162837493,0.565937837,0.252906197,0.189887749,0.378529621,0.565937837,0.304928492
0.0001,0.192830482,0.602934923,0.292207304,0.223192742,0.423007649,0.602934923,0.328492839
0.001,0.169423948,0.578394823,0.262079365,0.197329453,0.3900751,0.578394823,0.313432429
0.01,0.175030641,0.582422528,0.269064289,0.203469981,0.397204123,0.582422528,0.31561792

STATIC BASED ON 1st SET FOR TRAINING,,,,,,,
D,AVG PRECISION,AVG RECALL,AVG F1 MEASURE,AVG F0.5 MEASURE,AVG F2 MEASURE,AVG TPR,AVG FPR
0.0000001,0.179798677,0.583319899,0.226125995,0.16302104,0.349061237,0.583319899,0.285278453
0.000001,0.20945432,0.58078043,0.219835756,0.276422535,0.429604762,0.58078043,0.406288832
0.00001,0.174095801,0.52118511,0.225088761,0.158127173,0.367136223,0.52118511,0.262053098
0.0001,0.238514755,0.57570405,0.243190963,0.203345266,0.461795052,0.57570405,0.296693989
0.001,0.184509952,0.552251865,0.216623457,0.235544171,0.39032292,0.552251865,0.361569676

DISCARD HIGHEST FPR,,,,,,,
STATIC USING ENSEMBLE BASED LEARNING (ENSEMBLE SIZE 1),,,,,,,
D,AVG PRECISION,AVG RECALL,AVG F1 MEASURE,AVG F0.5 MEASURE,AVG F2 MEASURE,AVG TPR,AVG FPR
0.0000001,0.179798677,0.583319899,0.226125995,0.16302104,0.349061237,0.583319899,0.285278453
0.000001,0.20945432,0.58078043,0.219835756,0.276422535,0.429604762,0.58078043,0.406288832
0.00001,0.174095801,0.52118511,0.225088761,0.158127173,0.367136223,0.52118511,0.262053098
0.0001,0.238514755,0.57570405,0.243190963,0.203345266,0.461795052,0.57570405,0.296693989
0.001,0.184509952,0.552251865,0.216623457,0.235544171,0.39032292,0.552251865,0.361569676
0.01,0.20945432,0.58078043,0.219835756,0.276422535,0.429604762,0.58078043,0.406288832
0.1,0.206330075,0.571460404,0.222375348,0.253197435,0.422648753,0.571460404,0.376433859

STATIC USING ENSEMBLE BASED LEARNING (ENSEMBLE SIZE 2),,,,,,,
D,AVG PRECISION,AVG RECALL,AVG F1 MEASURE,AVG F0.5 MEASURE,AVG F2 MEASURE,AVG TPR,AVG FPR
0.0000001,0.208129846,0.69658411,0.254600695,0.221170777,0.329422726,0.69658411,0.24321639
0.000001,0.152942191,0.511443943,0.104042654,0.060173412,0.225333705,0.511443943,0.282756352
0.00001,0.172880048,0.531525079,0.231934918,0.189455473,0.325766277,0.531525079,0.217639813
0.0001,0.162848254,0.578178337,0.256069518,0.203657791,0.321736187,0.578178337,0.24728379
0.001,0.126055321,0.68902264,0.194021701,0.14652062,0.295924478,0.68902264,0.19237189
0.01,0.106216354,0.490652993,0.171351397,0.125465476,0.268920241,0.490652993,0.278713912
0.1,0.075074743,0.498425979,0.122429418,0.080355647,0.242711023,0.498425979,0.270886653

STATIC USING ENSEMBLE BASED LEARNING (ENSEMBLE SIZE 3),,,,,,,
D,AVG PRECISION,AVG RECALL,AVG F1 MEASURE,AVG F0.5 MEASURE,AVG F2 MEASURE,AVG TPR,AVG FPR
0.0000001,0.186783751,0.47690181,0.231837232,0.19891319,0.304550225,0.47690181,0.252666546
0.000001,0.257201673,0.58089253,0.330929697,0.282500507,0.39535154,0.58089253,0.305896632
0.00001,0.211128148,0.631893474,0.294668879,0.241374198,0.375709997,0.631893474,0.312312789
0.0001,0.121564745,0.585650708,0.183062945,0.139980967,0.273810522,0.585650708,0.268240991
0.001,0.175649408,0.719178383,0.228131804,0.191459839,0.309098708,0.719178383,0.309392319
0.01,0.185714949,0.558777579,0.255523199,0.208359103,0.333689589,0.558777579,0.281298372
0.1,0.225126571,0.594329094,0.29469957,0.248311439,0.365412007,0.594329094,0.299367942

STATIC USING ENSEMBLE BASED LEARNING (ENSEMBLE SIZE 4),,,,,,,
D,AVG PRECISION,AVG RECALL,AVG F1 MEASURE,AVG F0.5 MEASURE,AVG F2 MEASURE,AVG TPR,AVG FPR
0.0000001,0.172754131,0.642583936,0.252102386,0.197406176,0.352327281,0.642583936,0.243273374
0.000001,0.129958103,0.442773589,0.196839807,0.15275512,0.266590215,0.442773589,0.231381475
0.00001,0.148236447,0.340641975,0.179094742,0.154539047,0.242919313,0.340641975,0.203217849
0.0001,0.169649439,0.64228241,0.198374726,0.175480336,0.265670292,0.64228241,0.24582398
0.001,0.148373019,0.605791099,0.217145636,0.169455383,0.307975678,0.605791099,0.239481094
0.01,0.129889817,0.310199027,0.17781436,0.145296952,0.234062032,0.310199027,0.213249852
0.1,0.10954447,0.187340796,0.177217875,0.133227506,0.237627741,0.187340796,0.200277514

STATIC USING ENSEMBLE BASED LEARNING (ENSEMBLE SIZE 5),,,,,,,
D,AVG PRECISION,AVG RECALL,AVG F1 MEASURE,AVG F0.5 MEASURE,AVG F2 MEASURE,AVG TPR,AVG FPR
0.0000001,0.208129846,0.69658411,0.254600695,0.221170777,0.329422726,0.69658411,0.241917503
0.000001,0.186994849,0.255741728,0.225612611,0.196630795,0.288079846,0.255741728,0.23522854
0.00001,0.102796159,0.604813307,0.160692708,0.12451495,0.227642214,0.604813307,0.240802676
0.0001,0.129065141,0.672627665,0.196381485,0.149852502,0.286400811,0.672627665,0.173913043
0.001,0.135770954,0.827846971,0.177676313,0.148760461,0.245264824,0.827846971,0.272151616
0.01,0.112017156,0.436824951,0.179323674,0.131811269,0.281408683,0.436824951,0.199554069
0.1,0.108569766,0.409963814,0.167402679,0.125433511,0.266032645,0.409963814,0.240847269


DISCARD LOWEST TPR,,,,,,,
STATIC USING ENSEMBLE BASED LEARNING (ENSEMBLE SIZE 1),,,,,,,
D,AVG PRECISION,AVG RECALL,AVG F1 MEASURE,AVG F0.5 MEASURE,AVG F2 MEASURE,AVG TPR,AVG FPR
0.0000001,0.179798677,0.583319899,0.226125995,0.16302104,0.349061237,0.583319899,0.220048645
0.000001,0.20945432,0.58078043,0.219835756,0.276422535,0.429604762,0.58078043,0.217392616
0.00001,0.174095801,0.52118511,0.225088761,0.158127173,0.367136223,0.52118511,0.22926094
0.0001,0.238514755,0.57570405,0.243190963,0.203345266,0.461795052,0.57570405,0.205744839
0.001,0.184509952,0.552251865,0.216623457,0.235544171,0.39032292,0.552251865,0.276332678
0.01,0.20945432,0.58078043,0.219835756,0.276422535,0.429604762,0.58078043,0.205395408
0.1,0.206330075,0.571460404,0.222375348,0.253197435,0.422648753,0.571460404,0.276476365

STATIC USING ENSEMBLE BASED LEARNING (ENSEMBLE SIZE 2),,,,,,,
D,AVG PRECISION,AVG RECALL,AVG F1 MEASURE,AVG F0.5 MEASURE,AVG F2 MEASURE,AVG TPR,AVG FPR
0.0000001,0.146755247,0.539190489,0.198308123,0.162279258,0.274518434,0.539190489,0.283881958
0.000001,0.16176656,0.57661406,0.171447803,0.162633912,0.214052565,0.57661406,0.244829291
0.00001,0.174095801,0.52118511,0.225088761,0.158127173,0.367136223,0.52118511,0.251140308
0.0001,0.396975162,0.233474102,0.376971288,0.383176215,0.388352662,0.233474102,0.206626202
0.001,0.376624072,0.493872776,0.285263527,0.316961606,0.304531625,0.493872776,0.283559186
0.01,0.142084435,0.567582864,0.170550836,0.151139251,0.21156106,0.567582864,0.259098606
0.1,0.106216354,0.490652993,0.171351397,0.125465476,0.268920241,0.490652993,0.271359938

STATIC USING ENSEMBLE BASED LEARNING (ENSEMBLE SIZE 3),,,,,,,
D,AVG PRECISION,AVG RECALL,AVG F1 MEASURE,AVG F0.5 MEASURE,AVG F2 MEASURE,AVG TPR,AVG FPR
0.0000001,0.167915612,0.431271169,0.194720096,0.172794064,0.2569158,0.431271169,0.241304467
0.000001,0.213149198,0.698093125,0.194810837,0.190655771,0.255138896,0.698093125,0.222349936
0.00001,0.194476173,0.626821481,0.24779862,0.212513774,0.297997379,0.626821481,0.236804292
0.0001,0.11304132,0.741482156,0.16790329,0.129376303,0.258488647,0.741482156,0.273203422
0.001,0.145825286,0.651169298,0.210926846,0.166232968,0.296672526,0.651169298,0.283750585
0.01,0.228855721,0.470588235,0.304378797,0.253760341,0.383883276,0.470588235,0.279219025
0.1,0.100560329,0.31806538,0.168749047,0.120805665,0.2649058,0.31806538,0.222254341

STATIC USING ENSEMBLE BASED LEARNING (ENSEMBLE SIZE 4),,,,,,,
D,AVG PRECISION,AVG RECALL,AVG F1 MEASURE,AVG F0.5 MEASURE,AVG F2 MEASURE,AVG TPR,AVG FPR
0.0000001,0.146755247,0.539190489,0.198308123,0.162279258,0.274518434,0.539190489,0.219227848
0.000001,0.16176656,0.57661406,0.171447803,0.162633912,0.214052565,0.57661406,0.264854187
0.00001,0.206510162,0.196833753,0.210570266,0.20314952,0.247561237,0.196833753,0.291030262
0.0001,0.11781663,0.597232935,0.143267565,0.11746506,0.235226818,0.597232935,0.2228732
0.001,0.192622014,0.186495889,0.248669379,0.212402075,0.29150975,0.186495889,0.219286876
0.01,0.144200185,0.572179032,0.206785437,0.164245177,0.284007417,0.572179032,0.270049487
0.1,0.117165479,0.469456995,0.178678789,0.135739512,0.265634392,0.469456995,0.219855293

STATIC USING ENSEMBLE BASED LEARNING (ENSEMBLE SIZE 5),,,,,,,
D,AVG PRECISION,AVG RECALL,AVG F1 MEASURE,AVG F0.5 MEASURE,AVG F2 MEASURE,AVG TPR,AVG FPR
0.0000001,0.146755247,0.539190489,0.198308123,0.162279258,0.274518434,0.539190489,0.231026641
0.000001,0.16176656,0.57661406,0.171447803,0.162633912,0.214052565,0.57661406,0.287637412
0.00001,0.396975162,0.233474102,0.376971288,0.383176215,0.388352662,0.233474102,0.272358698
0.0001,0.2579937,0.747685705,0.25398406,0.240480284,0.324686771,0.747685705,0.207383144
0.001,0.277072171,0.449256713,0.317000651,0.292505248,0.334399352,0.449256713,0.269203015
0.01,0.181423115,0.618815662,0.262459667,0.206815559,0.363802527,0.618815662,0.244698559
0.1,0.120013719,0.460196804,0.182714198,0.138937137,0.271535076,0.460196804,0.263738364
